,TONDUR,EngSpDist_K1,EngSpDist_K2,EngSpDist_K3,EngSpDist_K4,EngSpDist_K5,EngSpDist_K6,EngSpDist_K7,EngSpDist_K8,AmbTempDist_K8,AmbTempDist_K9,MILEAGE,LABEL
23,1234939.0,567168.5,396495.1,58354.3,2286.7,608.5,14.5,2.4,16.3,513,103,6914,0
24,783157.5,139185.8,341388.9,186150.5,8156.6,1006.1,197.1,79.0,34.8,60,0,12349,0
25,935741.4,551154.8,210876.9,48385.8,7192.7,1635.7,340.3,112.4,33.0,155,0,3447,0
26,1232442.2,763001.5,320636.4,29522.4,2478.4,804.5,141.4,89.9,83.4,502,103,4348,0
27,3840698.0,1356537.4,1309642.6,520989.3,71203.9,14068.5,1965.5,638.4,276.8,932,388,40434,0
28,536949.9,193355.2,193625.6,17170.9,3952.4,2003.1,870.4,416.2,197.0,105,140,2994,0
29,772082.8,227651.5,194293.1,19157.3,1845.3,781.3,133.0,68.4,37.8,366,158,2898,0
30,1733987.6,627260.9,733836.5,133746.7,6079.8,700.4,68.8,23.9,7.3,434,212,17401,0
31,891870.6,346854.8,245686.8,60767.2,10857.2,3769.6,1397.3,594.0,246.4,470,193,5291,0
32,520322.7,218175.2,73325.6,11967.5,2346.2,1323.5,391.1,152.3,92.3,318,90,1552,0
33,3818262.3,1606543.8,1607234.3,121320.6,3673.9,626.5,37.7,13.6,12.8,1129,1006,22885,0
34,2168559.9,671601.3,769966.8,331589.8,25699.1,2790.8,897.9,353.0,171.9,155,4,23363,0
35,1722970.7,679738.9,622800.6,199127.8,7121.7,1553.5,395.7,163.0,73.4,178,0,15311,0
36,1568480.2,632549.8,596062.3,171907.4,10057.2,1179.5,263.0,86.8,46.9,162,5,14496,0
37,735397.2,287081.3,242569.4,79980.5,7219.6,1873.7,530.5,201.2,94.6,83,1,5977,0
38,2573874.3,888892.6,925584.8,410757.5,44903.3,10748.6,4466.9,1720.8,802.0,434,4,26835,0
39,755206.9,350840.6,221283.7,17085.0,523.2,527.0,34.1,15.0,14.2,340,189,2863,0
40,874458.1,394992.0,264838.9,19346.5,1193.2,574.7,49.2,14.6,4.6,457,225,4146,0
41,1011584.0,340505.6,359372.4,85281.3,5326.0,1243.4,217.3,64.2,24.1,440,10,7852,0
42,1373621.5,434191.8,252861.8,51162.3,5708.3,1764.3,539.9,243.8,93.8,269,506,5079,0
43,353857.1,78507.0,163490.3,22347.2,4326.0,1775.4,483.0,158.1,76.1,205,1,3637,0
44,303598.9,79397.2,80793.1,34958.7,2922.5,1119.7,297.7,125.5,60.9,33,4,2489,0
45,4876918.1,1649393.7,2292422.2,433480.9,29590.0,1543.8,182.0,72.9,40.9,1694,2051,49934,0
46,1205432.9,366871.5,606729.1,70979.5,4172.7,1113.0,190.6,60.7,13.8,225,200,11573,0
47,550674.8,231907.9,164994.0,22340.3,2756.1,1272.3,388.1,200.8,119.4,142,172,2856,0
48,1670137.7,713807.1,530999.5,130132.9,12831.2,1955.5,444.9,242.6,131.9,369,9,9540,0
49,677803.8,203604.4,165999.4,70433.6,14603.2,3163.5,816.6,361.8,172.8,265,7,4363,0
50,4424026.9,2028046.9,1542296.5,147939.1,8050.5,804.8,88.6,48.1,22.2,1007,702,27240,0
51,1022187.3,292959.4,385711.1,175057.7,17131.6,1934.8,702.4,363.4,212.7,109,0,11978,0
52,846341.2,230732.8,275132.5,123427.8,13671.9,2198.2,536.7,226.7,95.6,79,1,8381,0
53,4731646.6,1566677.5,1700780.2,708820.9,86453.3,10240.6,2781.8,1195.2,742.5,532,6,50921,0
54,3072945.7,1413800.6,605341.6,39654.4,1815.3,1061.4,270.3,132.2,65.9,1126,1178,7772,0
55,1236713.9,434343.4,372948.4,30426.8,1035.2,616.8,143.2,19.8,5.1,306,464,5060,0
56,763209.3,254120.5,220783.7,81760.1,19107.0,1965.6,363.1,114.5,38.0,292,190,6698,0
57,750591.1,252337.7,284984.8,20907.2,1540.3,689.8,72.3,30.0,8.2,218,35,4607,0
58,642795.2,242451.9,253261.7,40624.4,5626.6,857.2,105.3,33.9,19.0,167,61,4425,0
59,1101419.8,388931.9,402652.3,123205.7,13016.9,2554.5,727.0,281.7,147.7,254,4,9638,0
60,484323.3,144865.1,151421.3,59041.9,8760.3,2274.0,1071.9,538.8,337.8,114,3,4348,0
61,1706929.2,769274.9,615319.6,87954.2,6899.1,1820.7,610.6,312.5,188.5,331,4,9532,0
62,1533123.6,774243.6,199323.4,18838.3,1654.9,794.7,89.7,20.7,12.0,563,244,3004,0
63,3847101.2,1693514.8,1342487.6,304482.9,26382.5,1498.4,154.8,50.5,27.1,985,608,31445,0
64,1391352.4,530596.8,391577.2,139347.7,14807.7,2143.6,521.0,223.2,104.2,138,0,9994,0
65,1565609.6,405378.0,530328.2,431411.8,14825.2,1748.3,413.9,135.9,49.1,192,6,23078,0
66,1378672.5,693896.0,400043.3,28614.7,1817.3,667.4,79.3,35.1,15.1,264,671,5735,0
67,3734102.6,934752.2,1605275.9,644385.1,138838.2,9769.1,1707.5,685.2,387.5,318,4,47212,0
68,3958150.1,1961712.3,1480619.2,180490.5,13494.3,2086.8,414.8,175.4,84.6,1201,58,23186,0
69,2176068.2,757616.6,635103.7,157808.3,23466.4,2089.0,576.7,274.6,126.6,233,3,14460,0
70,2170915.0,934792.5,702393.0,167461.8,24302.5,5165.6,1884.1,935.1,494.6,437,20,13252,0
71,1731641.5,821861.9,534035.4,93051.5,3834.4,868.1,118.2,51.0,35.4,400,44,7960,0
72,478436.4,157599.7,141041.0,29159.5,2660.5,1093.0,273.3,131.5,71.6,168,4,3147,0
73,430838.6,138471.2,101055.5,16541.8,1638.8,697.4,35.9,7.9,44.0,142,2,1511,0
74,3676801.3,1072634.4,1921982.6,353908.2,14510.8,2280.9,783.2,319.9,180.9,474,1,33928,0
75,1654444.8,493564.5,627791.1,230106.6,23708.8,3990.1,1440.8,696.5,352.2,198,6,17318,0
76,494063.0,176560.2,118524.7,9530.6,164.6,483.5,11.7,11.9,13.6,192,174,1341,0
77,2236481.3,495192.8,884354.3,528631.0,39010.1,2300.1,315.7,74.4,30.5,153,8,31683,0
78,1230581.6,399206.6,591556.5,90123.9,3793.9,923.8,168.2,84.1,31.2,250,443,11833,0
79,1013510.6,421088.4,381674.2,65002.1,2451.4,698.9,76.0,29.2,8.5,260,179,7795,0
80,1254683.5,420592.9,380621.6,73771.1,9012.0,2465.0,361.8,133.5,74.0,132,2,7256,0
81,2609027.7,944948.3,1010029.0,307507.7,30582.4,3667.9,1115.2,473.4,254.0,270,16,23900,0
82,2082999.6,1182616.1,602963.5,90050.0,7397.7,1498.4,306.9,103.3,30.3,680,384,10208,0
83,516322.6,254884.1,79507.7,7833.2,653.0,629.7,24.5,10.4,6.0,372,110,1299,0
84,2518798.7,750226.7,967549.0,519363.2,46813.9,4570.3,1308.9,551.3,287.0,225,2,34697,0
85,871567.1,377542.2,234076.1,52673.4,1010.5,558.6,14.9,8.1,4.8,268,2,4520,0
86,803849.0,336272.5,309432.6,63298.3,6893.6,1653.5,326.1,86.7,19.5,196,20,6803,0
87,1421091.0,484050.4,426099.9,212581.5,21175.0,2076.7,387.2,186.8,110.3,265,19,13260,0
88,4186163.3,2179839.5,1122832.4,304044.1,26897.8,5245.5,1867.5,881.7,510.6,1266,751,26117,1
89,663006.1,220891.1,205521.9,95758.4,12653.7,1661.7,585.7,306.9,182.5,106,1,6673,0
90,1615384.2,400353.3,671791.1,337813.4,13094.8,2056.6,371.3,112.0,54.9,66,0,21734,0
91,862092.9,246950.6,350862.0,132621.3,7570.4,1353.3,334.1,150.0,90.6,89,0,9987,0
92,1327950.0,368576.1,581952.6,205380.9,16972.9,2314.4,673.6,323.9,158.2,161,10,16618,0
93,1438096.7,460952.9,567916.0,202447.9,21979.9,2388.5,657.7,266.3,136.5,195,7,15111,1
94,4691575.0,1794231.0,1979002.7,317399.2,41908.7,7941.2,2503.1,1212.5,557.6,397,18,32735,0
95,1153768.0,670874.7,255652.4,34647.9,2916.4,1080.3,234.4,79.8,36.4,163,1,3425,0
96,5231271.9,4356011.0,630555.2,102130.1,15330.0,4445.0,1732.9,822.3,433.7,533,256,11470,1
97,2372544.2,924724.7,1093209.8,153492.6,13226.6,1955.9,562.5,283.6,143.7,1135,338,17403,0
98,803000.5,297675.4,260375.4,30203.6,1381.6,735.8,128.8,58.4,38.2,302,256,3788,0
99,3101281.4,1093194.6,1099496.1,77585.7,3646.5,913.4,137.1,53.7,21.8,1108,844,15925,0
100,2207587.8,960077.9,509539.5,85626.6,11095.1,3657.8,1553.2,625.3,312.8,1001,1095,10103,0
101,1936925.5,733711.6,794806.6,139666.2,10111.1,1700.2,391.1,124.1,53.3,756,45,13466,0
102,1459606.9,287354.6,711790.8,257685.2,30225.6,2736.8,779.4,336.1,138.8,135,0,20935,0
103,691714.4,201707.5,191649.7,25166.0,2923.7,1022.1,204.6,100.0,49.5,183,4,3622,0
104,1627110.1,746791.1,468547.6,47328.2,7935.7,2428.2,923.7,458.9,198.8,529,623,8113,0
105,571050.2,200624.0,210086.7,51193.3,6663.3,1829.0,565.4,242.0,108.4,47,26,4221,0
106,1483319.1,277561.0,783562.6,182395.4,18785.7,3115.9,707.2,281.7,122.3,169,1,19359,0
107,4275738.5,2271141.3,1328353.2,143402.0,5727.8,620.2,26.6,19.9,13.4,1215,849,20007,1
108,1172078.9,357455.9,479429.0,75277.8,4483.8,604.9,30.8,11.5,7.7,372,15,6824,0
109,4554667.9,2249997.1,1123314.0,124796.1,4592.2,803.4,71.8,18.2,28.0,1142,1606,16108,1
110,1327828.4,353629.9,516662.5,160126.9,9984.4,997.1,156.4,72.7,60.1,127,2,12627,0
111,1233220.9,315458.8,463282.2,176130.9,12674.0,1560.1,425.4,207.8,107.5,84,1,13105,0
112,1513848.7,515114.8,601157.7,153099.9,14616.7,2158.8,396.0,95.9,27.5,261,0,13818,0
113,346820.3,112795.3,65087.1,16659.3,2021.0,710.9,48.8,20.7,16.0,145,201,1571,0
114,3283906.5,853695.6,1498736.4,537183.5,44857.6,4825.8,1375.3,624.1,337.5,317,1,42793,0
115,461381.4,207515.8,82488.9,10828.3,594.7,534.8,25.7,12.2,16.3,417,76,1010,0
116,1824946.9,859215.7,535437.8,57277.1,3178.2,773.5,95.6,26.2,10.3,608,716,9618,0
117,3764737.2,1068423.0,1459963.7,473625.2,98794.7,25351.1,9959.4,4163.5,1784.2,2421,376,37523,0
118,593185.8,238666.2,203262.3,10623.8,433.7,559.2,37.3,22.6,15.7,192,98,2849,0
119,732234.9,240598.6,159810.8,102678.8,7425.3,1496.5,355.7,143.7,52.7,366,8,5314,0
120,4987348.1,2532463.8,1659218.3,112827.8,4774.2,803.6,79.8,30.0,33.7,1254,988,27331,1
121,2124523.8,726899.8,884938.3,247691.2,14273.9,2074.7,411.3,172.3,66.2,327,0,17849,0
122,662316.9,218570.4,196261.2,95632.4,8439.4,1939.4,672.1,330.0,251.3,59,2,6429,0
123,3381007.6,1453185.5,1182169.2,339227.5,49541.9,6260.9,1419.6,492.9,217.0,400,4,25036,0
124,3829113.0,1362468.4,1421331.8,466919.8,70840.1,12796.6,5762.9,2504.7,1119.6,285,1,36835,0
125,1184471.0,551416.8,473465.2,43991.6,3508.2,895.1,114.5,32.8,8.5,288,122,9171,0
126,1484759.4,538543.6,635183.6,78244.9,9055.9,2050.9,568.6,241.7,128.3,356,20,11591,0
127,591056.1,254456.5,205543.1,27658.7,2131.3,691.6,39.0,16.7,3.3,133,3,2660,0
128,640454.2,220058.6,172110.3,26971.2,3795.9,1341.7,323.2,134.8,57.7,341,2,2717,0
129,799422.0,417407.3,192099.6,20466.6,1375.6,523.9,13.9,7.8,4.6,287,166,2931,0
130,3106567.2,914444.3,1157285.9,651336.4,22320.9,2178.5,503.0,253.9,133.3,141,0,37445,0
131,434535.2,162729.5,119346.5,38656.5,3866.4,1230.8,286.1,119.4,56.3,83,0,2883,0
132,2030322.2,977322.1,501801.3,44885.3,3594.6,1483.3,516.4,299.5,255.0,696,657,7559,0
133,1351475.1,535391.1,500796.5,139043.7,14746.3,1927.8,537.3,259.0,120.4,125,2,11794,0
134,1551226.3,397989.6,635015.4,272413.7,37173.7,5403.5,1921.8,737.5,336.7,173,4,18946,0
135,997021.7,390904.5,437954.4,59298.1,1335.5,510.2,16.1,8.5,3.2,255,55,8241,0
136,2732899.6,1115372.3,855741.7,47682.7,1040.6,525.6,29.3,21.5,42.2,473,889,11607,0
137,1472606.1,573683.0,485287.8,150390.2,29802.2,3772.4,1167.3,582.7,282.5,405,258,12966,0
138,366443.8,86601.7,100349.7,46862.7,2254.4,893.0,157.3,69.9,31.8,87,0,2974,0
139,1222453.7,525923.6,366248.1,131623.4,35770.7,4098.1,1279.7,580.4,221.5,300,15,10415,0
140,912820.2,535228.5,117114.0,14904.2,1736.3,786.0,127.8,75.9,76.4,309,268,1452,0
141,891689.6,274244.0,342352.6,119305.1,3434.4,790.5,126.2,50.0,26.8,234,1,8449,0
142,1778131.5,715835.4,565989.4,200004.6,18996.0,2077.9,646.5,294.9,138.4,270,0,14623,0
143,1521849.3,656176.3,443222.3,103406.0,7423.9,1504.0,457.5,208.8,115.5,273,4,8453,0
144,635330.2,375694.7,111100.0,16680.5,626.5,574.7,54.6,21.4,8.4,169,10,1307,0
145,397438.9,152186.8,125538.6,13035.3,2148.3,1613.2,703.8,432.8,278.7,205,110,1629,0
146,3612287.6,1304343.3,1420816.0,359872.9,48443.4,3109.4,352.2,141.1,40.0,910,1181,37897,0
147,1640980.7,866877.5,504736.1,91479.9,4165.2,602.0,78.6,37.1,16.4,233,487,10868,0
148,2256086.8,743524.3,649505.3,434772.2,103137.8,10160.5,2587.1,1284.0,695.2,184,3,29392,1
149,1605692.9,470616.7,575574.3,283561.2,33007.7,3422.0,962.7,398.5,175.0,258,3,19230,0
150,335657.2,81969.5,90305.2,35425.4,4295.6,1192.7,283.8,136.9,90.5,114,0,2591,0
151,2254408.3,1177495.3,538240.0,191571.2,31765.7,3214.5,671.4,256.3,139.6,259,3,13336,0
152,976137.9,509164.3,213103.9,38062.8,3164.9,1319.1,390.5,203.0,140.3,125,0,3421,0
153,1107950.2,524554.1,342866.7,105493.9,11335.5,1473.0,323.7,136.9,65.2,248,1,7983,0
154,2848607.3,633512.1,1249209.5,628794.2,52826.0,10775.2,4914.6,2748.5,1652.3,168,0,40621,0
155,3211279.6,1331572.0,1018710.5,361233.6,130183.1,43507.3,11011.5,1597.6,124.6,895,584,28857,0
156,1930928.0,784373.0,621100.5,215098.4,21688.9,3530.9,1232.8,665.6,308.7,320,198,16542,0
157,5770096.9,2002849.1,2750474.9,649468.5,62931.3,2916.8,836.1,381.2,175.8,450,10,42582,0
158,3446731.6,1235204.9,1439555.5,185207.1,6760.2,1063.0,206.3,101.2,51.2,1481,1805,21887,1
159,852901.3,465862.8,204732.4,38493.6,2660.1,616.6,36.7,18.2,5.9,175,11,3696,0
160,8618927.7,3634448.5,3311796.8,1020147.8,187369.3,22452.2,6799.8,3076.0,1385.1,497,11,34777,0
161,673972.4,257287.7,211764.9,34555.3,2497.3,750.2,94.5,42.4,17.1,264,4,3337,0
162,1100439.9,381504.5,318740.4,190902.3,40486.0,6356.7,1658.1,632.1,127.3,372,198,13158,0
163,1921201.4,1141869.2,460178.9,60742.0,3336.9,726.7,89.5,34.2,9.6,701,0,6073,0
164,1449586.6,429487.5,584144.5,248898.5,37751.1,4097.0,1352.2,598.2,229.9,184,0,19271,0
165,684253.7,290714.3,177683.9,32578.8,6861.8,3133.4,1560.8,881.1,511.6,329,239,3535,0
166,497017.2,216846.7,112831.1,14451.7,1973.1,1133.2,400.5,220.1,110.8,248,157,1693,0
167,324166.1,120029.1,69999.2,9112.6,604.6,528.9,24.3,13.6,7.6,173,12,1102,0
168,1279943.7,682127.5,360249.4,38785.3,2354.1,863.9,190.9,99.0,109.1,473,332,6361,0
169,500748.2,212768.8,143459.1,13764.0,1143.9,753.0,135.9,67.6,26.8,234,170,2151,0
170,3791945.4,1969235.5,1524801.9,164638.1,7500.5,734.1,52.0,11.9,7.8,520,117,29183,0
171,634738.5,310446.8,169663.4,27219.5,2869.5,736.0,99.5,55.4,30.0,299,198,2623,0
172,378833.2,165252.6,79536.1,42581.6,8431.3,1106.8,158.0,95.4,65.7,197,110,2917,0
173,1291554.6,622913.9,488494.3,61524.2,4079.3,787.8,87.3,32.6,14.3,410,247,9101,0
174,3041426.9,1227874.8,1338081.7,284551.1,6269.8,853.8,90.0,42.8,12.3,967,567,30821,0
175,1517243.6,929298.4,377450.0,45894.0,3518.9,590.5,41.4,18.5,11.2,782,453,4651,0
176,645426.5,172214.2,315073.2,59455.6,4882.1,672.5,55.3,18.6,8.1,109,0,5969,0
177,1180686.9,636890.0,345250.5,18546.3,624.7,535.6,23.6,11.9,8.1,588,426,4132,0
178,3633077.6,1778060.4,1304315.0,171852.8,7698.9,1534.9,479.1,249.6,135.8,901,372,20112,0
179,260461.3,93333.1,39589.2,21765.9,6194.5,2089.5,698.2,304.6,152.9,217,25,1470,0
180,560885.0,422260.6,69988.7,4722.7,286.7,534.2,42.7,25.2,19.7,291,137,1044,0
181,1197101.9,552381.0,394722.3,62557.0,8073.4,3519.9,1762.3,1012.7,472.5,395,400,6099,1
182,1494734.2,408126.9,727738.9,169796.7,13055.5,1941.5,365.0,127.0,47.3,238,1,17016,0
183,504071.9,171324.0,209016.0,40889.6,2999.6,602.1,94.1,112.3,18.4,176,41,3994,0
184,2026130.4,575776.6,646424.3,352647.2,89768.9,14812.7,2239.7,921.5,458.6,172,2,25146,0
185,1884310.0,878816.6,539073.9,137837.5,9814.4,1665.3,213.7,52.5,14.4,419,13,10395,1
186,470208.1,216892.2,132262.3,13874.5,1568.9,834.7,135.7,58.5,28.0,263,64,1882,0
187,1215690.7,409832.1,419495.0,200267.9,41562.8,5607.0,725.9,337.1,154.8,102,0,14063,0
188,584117.1,134719.7,179027.6,147821.0,33753.2,4571.0,1407.5,617.4,291.7,37,0,9141,0
189,1312680.0,622350.8,326239.5,141262.5,6025.8,1420.2,381.7,170.0,90.9,165,83,8996,0
190,621064.5,158126.5,228823.5,117556.5,16788.0,2330.0,625.2,288.0,143.5,5,0,7575,0
191,1081585.6,339213.6,477716.6,76280.6,3690.6,1040.3,254.1,147.5,76.3,55,0,10262,0
192,407089.0,84944.3,166866.1,69989.1,9803.4,1205.0,224.2,77.3,20.4,35,1,4974,0
193,461658.8,151976.1,168913.3,72790.8,4493.1,1070.0,246.9,142.1,74.9,8,0,4710,0
194,1311532.3,456608.9,496769.0,191581.8,10176.6,1758.2,552.5,274.7,123.4,100,0,13024,0
195,1362378.3,382664.6,645799.8,151741.5,19189.9,1552.6,395.4,163.3,86.3,106,3,13768,0
196,663050.5,370173.9,185861.2,41748.9,4745.7,1054.7,150.1,57.9,32.8,120,0,3077,0
197,1412150.3,560386.3,516130.2,163072.1,5875.0,1191.0,239.2,90.0,54.6,167,1,12043,0
198,595679.7,234284.9,197128.5,62420.1,7060.7,2062.0,699.5,355.7,140.9,169,1,4853,0
199,481026.8,166926.3,166337.1,73229.2,8188.0,1179.3,210.3,97.6,56.3,55,0,4971,0
200,328207.3,142292.5,97637.3,24461.6,3016.9,1014.7,244.8,147.1,83.5,11,0,2070,0
201,1214445.5,698333.2,279238.8,34246.4,2172.7,680.0,59.4,22.2,9.9,435,494,4215,0
202,1913993.3,695937.5,819901.6,230333.7,14799.8,1295.5,211.1,75.5,32.2,314,5,15533,0
203,498884.0,168796.4,167187.2,64417.2,7680.6,1732.6,528.7,320.9,216.6,122,0,4576,0
204,1437956.1,746290.2,432953.4,68995.8,1600.2,676.9,76.2,26.0,8.9,266,678,9382,0
205,318631.7,101354.1,81259.1,13520.0,2474.0,1128.0,273.5,118.5,65.6,282,27,1419,0
206,597913.5,268128.6,171566.7,32353.9,3086.9,1111.2,283.7,130.5,80.2,112,2,3148,0
207,1086629.9,401301.5,354490.7,34838.7,2212.4,877.1,141.2,49.8,36.9,432,693,4930,0
208,514879.3,174699.3,194965.7,27324.3,2810.1,1378.1,487.6,250.1,123.4,151,213,3033,0
209,883787.5,413488.3,185067.9,39781.0,6912.6,1458.8,292.1,128.3,41.5,331,369,4233,0
210,494302.3,145749.2,156273.0,87549.2,9023.4,2084.4,669.0,402.0,197.2,20,0,5535,0
211,825844.7,266368.6,307105.9,148473.7,18195.8,2103.8,648.8,291.8,172.4,133,8,9660,0
212,2870738.0,614470.4,1245525.3,630720.5,57480.3,10593.4,5225.5,3247.3,1936.2,273,3,40707,0
213,610508.6,194159.8,183777.4,98958.9,13885.1,1686.4,433.1,212.0,114.0,159,1,6405,0
214,1483494.9,703342.6,481352.8,127297.0,8545.8,1397.5,326.2,141.9,66.4,270,1,10003,0
215,3722939.0,1858749.6,1154310.3,329586.8,20412.2,3085.5,993.1,504.0,280.8,445,18,24883,0
216,1764907.4,637193.5,744675.7,205117.4,18184.8,3430.7,1347.8,772.2,405.2,194,3,16781,0
217,598900.7,234300.1,263580.4,23707.1,1068.3,585.6,41.6,20.3,15.2,137,143,5239,0
218,898807.0,319035.8,322263.7,107389.8,4395.4,588.7,38.5,24.8,16.6,52,0,7506,0
219,2065747.6,1034263.3,777487.1,78870.1,8188.9,2129.3,559.2,208.7,77.2,539,346,13340,0
220,311466.6,121423.5,87592.2,12481.1,1042.0,556.3,27.6,14.9,8.2,143,26,1590,0
221,2380075.8,834358.9,1070941.2,125081.6,1812.1,661.6,75.5,31.1,8.0,454,720,20430,0
222,1825511.5,760719.3,756756.0,48257.7,2600.6,1163.5,356.2,189.8,106.5,387,581,10375,0
223,626825.8,235047.0,258652.8,30922.3,2023.5,777.3,111.8,24.7,8.1,217,143,4199,0
224,5924207.8,3384855.9,2039118.0,250109.4,22716.0,4791.2,1311.6,401.1,135.0,1635,1206,30355,1
225,1101384.4,451699.7,429335.2,81228.4,7855.6,1956.1,602.1,230.0,98.0,441,14,7582,0
226,1210231.1,501389.3,426918.0,132296.7,11012.1,1348.8,370.7,187.5,98.6,144,0,9562,0
227,696381.7,366539.2,140260.7,12151.2,660.2,587.5,78.3,62.3,27.1,556,672,1604,0
228,455607.6,152309.1,104971.3,58198.2,4691.7,1129.1,232.9,110.7,48.2,184,11,3438,0
229,824258.9,293716.7,310041.9,109316.5,14585.2,3115.3,1254.4,695.6,386.9,170,3,8263,0
230,1621437.0,460843.6,632776.8,295832.7,28299.3,4576.0,1828.1,923.1,524.1,199,2,20154,0
231,1398072.4,707533.3,426657.4,120679.4,13998.6,2516.8,811.6,378.9,229.6,240,3,9070,0
232,4296629.3,1123795.8,1449753.7,1155133.1,198839.3,8550.0,1859.9,939.3,495.4,102,1,65412,0
233,630534.9,256881.7,188038.2,22675.0,1944.8,887.4,196.8,114.7,56.8,298,88,2951,0
234,623673.9,188169.5,242681.1,113315.1,9241.2,2322.5,808.4,414.9,193.2,136,0,7632,0
235,1786440.1,737518.7,614980.5,190169.1,36611.4,7445.7,2643.1,1368.6,685.4,461,368,15757,0
236,827133.2,271387.6,307082.9,144667.4,12669.9,2481.2,661.4,327.8,201.8,156,1,9457,0
237,248810.0,76859.5,64074.5,23748.4,2677.5,1046.9,328.1,166.7,94.8,70,0,1716,0
238,1931728.0,1137734.5,491091.6,112680.7,15752.4,1577.1,168.1,8.9,3.1,546,285,8236,0
239,497634.5,222365.4,117328.8,13296.1,838.5,526.3,22.0,10.4,4.8,275,124,1839,0
240,473112.6,242025.8,112096.0,26195.7,1276.1,554.1,31.0,15.6,8.4,214,2,1904,0
241,794935.9,321711.4,283971.8,71842.8,13340.4,1580.4,110.3,44.9,19.1,266,173,7151,0
242,3291130.2,1977469.7,752605.4,156814.7,8117.6,1640.4,432.9,183.7,95.1,498,10,12843,0
243,1932472.3,445056.3,560642.7,350167.1,31832.4,8144.5,3995.9,2187.3,1400.9,250,6,21005,0
244,2208859.8,742106.9,740156.7,312448.2,20912.9,5589.7,2460.2,1322.8,791.6,435,35,21212,0
245,390361.9,94689.0,72545.2,32573.3,1928.1,919.6,252.9,120.2,55.9,249,13,2098,0
246,2370330.9,867868.6,767358.8,270303.1,30654.7,6118.3,2177.5,1059.1,511.1,395,177,20283,0
247,1499893.0,544107.3,520871.5,129778.1,18981.7,3359.2,951.2,424.3,209.2,694,55,10913,0
248,616388.2,109068.9,227923.6,107287.1,8667.0,296.3,91.4,36.3,16.1,146,4,7343,0
249,1739011.0,793176.1,577467.2,125808.6,16609.7,3335.1,1199.3,490.2,240.5,727,84,10073,0
250,533236.5,210651.8,93375.4,8883.2,352.1,45.3,19.2,16.5,15.1,382,220,1234,0
251,1633142.4,1004896.2,341527.6,30366.2,1489.4,89.9,27.2,7.1,5.0,624,789,4390,0
252,569667.9,247446.6,67956.0,11760.0,2286.8,882.1,443.1,230.3,114.6,380,176,1069,0
253,538744.0,170880.2,179443.5,70615.9,11693.5,1769.3,848.3,464.6,221.0,110,0,5160,0
254,598053.6,206360.2,211540.0,65195.1,3962.1,605.1,249.1,129.2,59.3,165,0,5219,0
